id,tweet,target
4661,لوئر دیر تھانہ منڈہ کے حدود گوسم فائرنگ پانچ افراد جاں بحق جبکہ چار افراد کا تعلق ایک ہی خاندان سے ہیں۔,0
7227,اسلۓ کہ تمھارا آقا کے آگے لیٹا ھوا تھا۔ بیغیرتوں کچھ تو آپنی عاقبت کا بھی سوچ لو,1
2413,لیکن نوازشریف نے اسے بھی ایکسٹینشن نہیں دی تھی تاکہ جنرل ق…,0
8159,اس گشتی کو پتہ نہی ہے کہ ایٹمی جنگ کسے کہتے ہیں,1
9571,کشمیر بیچ دیا غیرت ساتھ بیچ ڈالی امریکی غلامی کا پٹہ گلے میں ڈال لیا,0
521,کچھ لوگ اگرکشمیرمیں ہوتےتوبڑےآرام سے انڈین آرمی کو کہتےسرہمیں جوتیاں مارو کیونکہ اسلحہ اور طاقت تو آپکےپاس ہے,0
9383,کراچی، ڈینگی کے کیسز میں خطرناک حد تک اضافہ کراچی میں خطرناک وائرس سے مزید ہلاکتیں,0
3827,پاک آرمی زندہ باد…,0
3385,شوگر کے مریضوں کیلئے حیران کن نسخہ، اب پریشان ہونے کی ضرورت نہیں,0
3631,یہ آخری وقت ہے ۔۔ مسلمان تعداد میں کم رہ جائیں گے ۔۔ یہ وعدہ پورا ہو کر رہنا ہے ۔۔ عربوں کی تباہی بیشک دور نہیں ۔۔,0
3982,او بیغیرت اعظم کی نسل یہ فوج رنڈی اب یہی کام کریگی ، ہجڑے جنگ نہیں کر سکتے البتہ صفائی ضرور کرسکتے ہیں,0
494,کنجرو بےغیرتوں تم لوگوں سے تو کسی چیز کی بھی امید نہیں ہے کشمیری اور پاکستانی تو اللہ سے امید لگائے بیٹھے ہیں,0
6367,کامران خان ، خوشامد میں اتنا نہ جھکیں کہ کمر ٹوٹ جائے آپ کا یہ ٹویٹ ھر ذی شعور انسان کی نظر میں گھٹیا درجے کی بکواس ھے,0
8695,جناب پرائم منسٹر آف پاکستان عمران خان صاحب قوم کی دعاؤں سے آپ انشاءاللہ کتے کی موت مریں گے,1
7948,آج صبح افغانستان کے شہر کابل میں شادی کی تقریب میں خودکش دھماکہ ہوا جس کے نتیجے میں ایک ہی گھر کےافراد جانبحق,0
4709,یورپ جانے کے لیے بھارتی ایئر لائیںز کو بھاری نقصان کا سامنا…,0
422,ڈوب مرو نواز شریف۔کشمیر کے ہر شھید کے خون کا حساب دو گے تمام دنیا میں ورنہ آخرت میں تو دوگے ہی۔,0
5825,جاوید میانداد  نے کشمیری عوام کو بولا ہے کہ مرنا ہے تو اپنے ساتھ انڈین کو مار کر مرو اور جب گھر سے نکلو,1
6709,انسانی حقوق کی خلاف ورزیوں کی ہولناک داستان کشمیر پر اب آگے کیا ہو گا۔۔۔؟؟,0
6049,باڈر پر کھڑے فوجی سے صحافی نے پوچھا موت سے ڈر نہیں لگتا ؟ فوجی نے جواب دیا شہادت کے لیے ہی تو گھر سے آئے ہیں ۔,0
8365,یہاں انصاف نہیں ملتا بلکہ یہاں تو جرم بکتا ہے,0
1065,اس قدر ظالم جانور ہے کہ  بےبس مجبور غریب انسان جو ہسپتال زندگی امید میں جاتا تھا اب خرچے کے خوف سے موت سے بےخوف ہوگ,0
7262,بابا جی کہتے ہیں جہاں دھوکہ ملے وہاں بار بار نہیں جاتے لیکن بابا جی یہ بتا کر چیخیں مار کر رونے لگے,0
7721,اتنی غیرت ببلو اور ڈبلو کو نہیں آئی۔۔۔جتنی تمہیں آرہی ہے,0
4552,احترام کرنا تربیت ہے ، کمزوری نہیں اور معذرت کرنا حسنِ اخلاق ہے ، ذلت نہیں,0
4439,نیہا جانو لاکھ ادائیں دکھا لو، جنگ ھو کے رھنی ھے اور تم لونڈی بن کر آؤ گی… حور بننے کے خواب چھوڑ دو۔,0
2475,لوگوں کے رویے زندگی کی ایسی سمجھ دیتے ہیں۔۔۔ کہ شکایات اور ان سے وابستہ توقعات اپنے آپ ہی ختم ہوتی چلی جاتی ہیں۔۔۔,0
2299,ملک اور خطے کے حالات ٹھیک نہیں ہیں سو ان چیلنچز سے نپٹنے کے لئے ضروری تھا کہ فوجی قیادت کا تسلسل رہے,0
7593,تونسہ شریف موضع ٹبی قیصرانی۔میںاوباشوں کی درندگی کی خانہ بدوش کی لڑکی سے اجتماعی زیادتی,0
161,یہ جانور صفت مخلوق رہتی ہے اس ملک پاکستان میں ان جانوروں پہ اللہ کوئ ہٹلر مسلط کرے,0
9050,بایس کروڑ پاکستانی عوام اپنی بہادر افواج کےاشارے کی انتظار میں ھے,1
6120,یہ ہیں سندھ کے جیہالے جو زرداری ڈاکو کیلۓ تو نکلتے ہیں اور مارتے چوری کرنے والے کو خبیث لوگ,0
6311,کتنے دکھ کی بات ہے کہ تم اس عظیم اکبر بگٹی کے کچھ لگتے ہو۔ خدا قسم آج وہ اگر زندہ ہوتا تو تم جیسے حرام تخم کو زندہ درگور کر دیتا۔,1
